code,schemeType,fundType,schemeCategory,plan,schemeMin,sip,investmentObjective,aum,risk,fundManager,schemeName,returnsInception,returnsYear1,returnsYear3,returnsYear5,returnsYear10,ISIN,expenseRatio,taxPeriod,navCode
UTMMD5-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND FORTNIGHTLY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,0.964643,Amandeep S Chopra; Amit Sharma,UTI Money Market Fortnightly Dividend Reinvest Direct Plan,7.0272,5.1618,6.3802,0,7.98,INF789FA1M38,0.99,1095,135606
UTMMD4-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,1.41939,Amandeep S Chopra; Amit Sharma,UTI Money Market Monthly Dividend Payout Direct Plan,6.1085,5.4601,5.8788,5.9908,6.39,INF789FA1M46,0.99,1095,133387
UTMMD4-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,1.41939,Amandeep S Chopra; Amit Sharma,UTI Money Market Monthly Dividend Reinvest Direct Plan,6.1085,5.4601,5.8788,5.9908,11.6,INF789FA1M53,0.99,1095,133387
UTMMD6-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,0.357279,Amandeep S Chopra; Amit Sharma,UTI Money Market Quarterly Dividend Payout Direct Plan,7.9171,7.6324,0,0,3.22,INF789FA1M61,0.99,1095,142249
UTMMD6-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,0.357279,Amandeep S Chopra; Amit Sharma,UTI Money Market Quarterly Dividend Reinvest Direct Plan,7.9171,7.6324,0,0,8.83,INF789FA1M79,0.99,1095,142249
UTMMD7-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND SEMI-ANNUALLY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,0.326887,Amandeep S Chopra,UTI Money Market Half Yearly Dividend Payout Direct Plan,6.7081,7.6325,6.6829,0,5.4,INF789FA1M87,0.4,1095,140023
UTMMD7-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND SEMI-ANNUALLY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,0.326887,Amandeep S Chopra,UTI Money Market Half Yearly Dividend Reinvest Direct Plan,6.7081,7.6325,6.6829,0,4.1,INF789FA1M95,1,1095,140023
UTMMD8-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND ANNUAL,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,0.295207,Amandeep S Chopra; Amit Sharma,UTI Money Market Annual Dividend Payout Direct Plan,7.4732,7.6322,7.5569,0,3.45,INF789FA1N03,1,1095,134973
IDD52-DR,Open Ended,Others,Debt - Bonds,DIVIDEND QUARTERLY,5000,N,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,4.14069,Harshal Joshi,IDFC All Seasons Bond Quarterly Dividend Reinvest Direct Plan,6.5785,7.0983,5.8442,6.1028,0.95,INF194K01V22,1,1095,118413
IDD52-DP,Open Ended,Others,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,4.14069,Harshal Joshi,IDFC All Seasons Bond Quarterly Dividend Payout Direct Plan,6.5785,7.0983,5.8442,6.1028,1.09,INF194K01V30,1,1095,118413
IDD52P-DR,Open Ended,Others,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,4.14069,Harshal Joshi,IDFC All Seasons Bond Quarterly Dividend Reinvest Direct Plan,6.5785,7.0983,5.8442,6.1028,5.23,INF194K01V30,1,1095,118413
IDD272-DR,Open Ended,Others,Debt - Bonds,DIVIDEND FORTNIGHTLY,5000,N,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,2.08993,Harshal Joshi,IDFC All Seasons Bond Fortnightly Dividend Reinvest Direct Plan,0,0,3.3711,4.7248,6.14,INF194K01V48,1.93,365,118414
IDD272-DP,Open Ended,Others,Debt - Bonds,DIVIDEND FORTNIGHTLY,5000,N,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,2.08993,Harshal Joshi,IDFC All Seasons Bond Fortnightly Dividend Payout Direct Plan,0,0,3.3711,4.7248,2.33,INF194K01V55,0.59,1095,118414
IDD278-DR,Open Ended,Others,Debt - Bonds,DIVIDEND DAILY,5000,Y,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,0.833918,Harshal Joshi,IDFC All Seasons Bond Daily Dividend Reinvest Direct Plan,1.0321,-0.58,0,2.8709,8.91,INF194K01V63,0.59,1095,118409
NIG1-GR,Open Ended,Others,Equity,GROWTH,5000,Y,The investment objective of the scheme is to invest only in and all the stocks comprising the Nifty 50 Index in the same weights of these stocks as in the Index with the objective to replicate the performance of the Total Returns Index of Nifty 50 Index. The scheme may also invest in derivatives instruments such as Futures and Options linked to stocks comprising the Index or linked to the Nifty 50 Index. The scheme will adopt a passive investment strategy and will seek to achieve the investment objective by minimizing the tracking error between the Nifty 50 Index (Total Returns Index) and the Scheme.,2080,14.7816,V.Balasubramanian; Firdaus Marazban Ragina,IDBI Nifty Index Growth Direct Plan,7.4381,-14.1811,3.1957,2.5001,11.84,INF397L01AP6,1.05,365,118347
USM1-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,The objective of the Scheme will be to provide investors with regular income for their investment by investing in debt and money market instruments with relatively lower interest rate risk; such that the Macaulay duration of the portfolio is maintained between 3 months to 6 months. However; there can be no assurance that the investment objective of the Scheme will be realized.,2290,1.75055,Bhupesh Kalyani,IDBI Ultra Short Term Monthly Dividend Reinvest Direct Plan,7.0669,5.0047,5.9288,0,10.8,INF397L01AR2,1.05,365,118460
USM1-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,The objective of the Scheme will be to provide investors with regular income for their investment by investing in debt and money market instruments with relatively lower interest rate risk; such that the Macaulay duration of the portfolio is maintained between 3 months to 6 months. However; there can be no assurance that the investment objective of the Scheme will be realized.,2290,1.75055,Bhupesh Kalyani,IDBI Ultra Short Term Monthly Dividend Payout Direct Plan,7.0669,5.0047,5.9288,0,1.31,INF397L01AS0,1.6,365,118460
USW1-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,5000,Y,The objective of the Scheme will be to provide investors with regular income for their investment by investing in debt and money market instruments with relatively lower interest rate risk; such that the Macaulay duration of the portfolio is maintained between 3 months to 6 months. However; there can be no assurance that the investment objective of the Scheme will be realized.,2290,1.95652,Bhupesh Kalyani,IDBI Ultra Short Term Weekly Dividend Reinvest Direct Plan,0,5.1905,4.9622,5.5407,11.76,INF397L01AT8,1.6,365,118461
USW1-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,5000,Y,The objective of the Scheme will be to provide investors with regular income for their investment by investing in debt and money market instruments with relatively lower interest rate risk; such that the Macaulay duration of the portfolio is maintained between 3 months to 6 months. However; there can be no assurance that the investment objective of the Scheme will be realized.,2290,1.95652,Bhupesh Kalyani,IDBI Ultra Short Term Weekly Dividend Payout Direct Plan,0,5.1905,4.9622,5.5407,9.68,INF397L01AU6,1.67,365,118461
USG1-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,The objective of the Scheme will be to provide investors with regular income for their investment by investing in debt and money market instruments with relatively lower interest rate risk; such that the Macaulay duration of the portfolio is maintained between 3 months to 6 months. However; there can be no assurance that the investment objective of the Scheme will be realized.,2290,0.604166,Bhupesh Kalyani,IDBI Ultra Short Term Growth Direct Plan,8.1265,6.9589,7.2421,7.704,4.38,INF397L01AV4,1.67,365,118350
NJG1-GR,Open Ended,Others,Equity,GROWTH,5000,Y,The investment objective of the scheme is to invest only in and all the stocks comprising the Nifty Next 50 Index in the same weights of these stocks as in the Index with the objective to replicate the performance of the Total Returns Index of Nifty Next 50 Index. The scheme may also invest in derivatives instruments such as Futures and Options linked to stocks comprising the Index or linked to the Nifty Next 50 Index as and when the derivative products on the same are made available. The scheme will adopt a passive investment strategy and will seek to achieve the investment objective by minimizing the tracking error between the Nifty Next 50 Index (Total Returns Index) and the Scheme.,450,17.08,Firdaus Marazban Ragina,IDBI Nifty Junior Index Growth Direct Plan,9.1341,-18.4011,-1.1876,3.2474,12,INF397L01AW2,1.67,365,118348
NJD1-DR,Open Ended,Others,Equity,AS N WHEN,5000,Y,The investment objective of the scheme is to invest only in and all the stocks comprising the Nifty Next 50 Index in the same weights of these stocks as in the Index with the objective to replicate the performance of the Total Returns Index of Nifty Next 50 Index. The scheme may also invest in derivatives instruments such as Futures and Options linked to stocks comprising the Index or linked to the Nifty Next 50 Index as and when the derivative products on the same are made available. The scheme will adopt a passive investment strategy and will seek to achieve the investment objective by minimizing the tracking error between the Nifty Next 50 Index (Total Returns Index) and the Scheme.,450,17.08,Firdaus Marazban Ragina,IDBI Nifty Junior Index Dividend Reinvest Direct Plan,0,-18.4011,-1.1876,3.2474,2.6,INF397L01AX0,1.6,365,118456
NJD1-DP,Open Ended,Others,Equity,AS N WHEN,5000,Y,The investment objective of the scheme is to invest only in and all the stocks comprising the Nifty Next 50 Index in the same weights of these stocks as in the Index with the objective to replicate the performance of the Total Returns Index of Nifty Next 50 Index. The scheme may also invest in derivatives instruments such as Futures and Options linked to stocks comprising the Index or linked to the Nifty Next 50 Index as and when the derivative products on the same are made available. The scheme will adopt a passive investment strategy and will seek to achieve the investment objective by minimizing the tracking error between the Nifty Next 50 Index (Total Returns Index) and the Scheme.,450,17.08,Firdaus Marazban Ragina,IDBI Nifty Junior Index Dividend Payout Direct Plan,0,-18.4011,-1.1876,3.2474,4.91,INF397L01AY8,1.6,365,118456
MIG1-GR,Open Ended,Hybrid,Equity,GROWTH,5000,Y,To provide regular income along with opportunities for capital appreciation through investments in a diversified basket of debt; equity and money market instruments.,120,4.79521,Raju Sharma; Uma Venkatraman,IDBI Equity Saving Growth Direct Plan,5.8715,1.5014,3.4584,4.0141,11.15,INF397L01AZ5,1.6,365,118452
D201-GR,Open Ended,Equity,Equity,GROWTH,5000,Y,The Scheme seeks to generate long-term capital growth by investing predominantly in large cap and mid cap stocks.,25850,14.7134,Anoop Bhaskar,IDFC Core Equity Growth Direct Plan,8.6265,-13.2246,2.0076,4.4449,8.64,INF194K01V89,0.69,1095,118419
D202-DP,Open Ended,Equity,Equity,AS N WHEN,5000,Y,The Scheme seeks to generate long-term capital growth by investing predominantly in large cap and mid cap stocks.,25850,16.2026,Anoop Bhaskar,IDFC Core Equity Dividend Payout Direct Plan,8.1279,-14.0404,1.5912,3.9196,0.14,INF194K01V97,0.69,1095,118420
IDD202P-DR,Open Ended,Equity,Equity,AS N WHEN,5000,Y,The Scheme seeks to generate long-term capital growth by investing predominantly in large cap and mid cap stocks.,25850,16.2026,Anoop Bhaskar,IDFC Core Equity Dividend Reinvest Direct Plan,8.1279,-14.0404,1.5912,3.9196,11.22,INF194K01V97,0.87,1095,118420
D206-DP,Open Ended,Equity,Equity,AS N WHEN,5000,Y,The investment objective of the Scheme is seek to generate capital appreciation by investing in a concentrated portfolio of equity and equity related instruments up to 30 companies. There is no assurance or guarantee that the objectives of the scheme will be realized.,14360,15.8604,Sumit Agarwal,IDFC Focused Equity Dividend Payout Direct Plan,8.3819,-5.8441,6.8429,4.4243,6.3,INF194K01W39,0.87,1095,118422
IDD206P-DR,Open Ended,Equity,Equity,AS N WHEN,5000,Y,The investment objective of the Scheme is seek to generate capital appreciation by investing in a concentrated portfolio of equity and equity related instruments up to 30 companies. There is no assurance or guarantee that the objectives of the scheme will be realized.,14360,15.8604,Sumit Agarwal,IDFC Focused Equity Dividend Reinvest Direct Plan,8.3819,-5.8441,6.8429,4.4243,5.99,INF194K01W39,0.87,1095,118422
IDD206-DR,Open Ended,Equity,Equity,AS N WHEN,5000,N,The investment objective of the Scheme is seek to generate capital appreciation by investing in a concentrated portfolio of equity and equity related instruments up to 30 companies. There is no assurance or guarantee that the objectives of the scheme will be realized.,14360,15.8604,Sumit Agarwal,IDFC Focused Equity Dividend Reinvest Direct Plan,8.3819,-5.8441,6.8429,4.4243,3.26,INF194K01W47,0.87,1095,118422
D203-GR,Open Ended,Equity,Equity,GROWTH,10000,Y,The Scheme shall seek to generate long-term capital growth from an actively managed portfolio of predominantly equity and equity related instruments. The Scheme portfolio would acquire; inter alia; small and medium size businesses with good long term potential; which are available at cheap valuations. Such securities would be identified through disciplined fundamental research keeping in view medium to longterm trends in the business environment. The Scheme shall endeavor to accumulate long-term investor wealth by opening subscriptions to units during periods when stocks are available at reasonable valuations. By doing so; the Fund managers would endeavor to prevent shortterm money from flowing into the fund which can prove detrimental to the interests of long-term investors. As the scheme would be sold to investors with a long-term investment horizon; it is also expected that the portfolio would remain relatively more insulated to day to day redemption pressures. The fund will close subscription; once it has collected a predetermined “manageable” corpus (approximate amount); which will be decided by the fund manager of the scheme depending on the available investment opportunities in the stock market / if the fund manager is of the opinion that investment opportunities have diminished. Thus the fund manager will endeavour to ensure that there are sufficient assets available to meet the long-term objectives of the fund.,54760,13.5331,Anoop Bhaskar; Sumit Agarwal; Viraj Kulkarni,IDFC Multi Cap Growth Direct Plan,11.4102,-7.2616,3.1394,3.1145,5.08,INF194K01W62,0.87,1095,118424
D204-DP,Open Ended,Equity,Equity,AS N WHEN,10000,Y,The Scheme shall seek to generate long-term capital growth from an actively managed portfolio of predominantly equity and equity related instruments. The Scheme portfolio would acquire; inter alia; small and medium size businesses with good long term potential; which are available at cheap valuations. Such securities would be identified through disciplined fundamental research keeping in view medium to longterm trends in the business environment. The Scheme shall endeavor to accumulate long-term investor wealth by opening subscriptions to units during periods when stocks are available at reasonable valuations. By doing so; the Fund managers would endeavor to prevent shortterm money from flowing into the fund which can prove detrimental to the interests of long-term investors. As the scheme would be sold to investors with a long-term investment horizon; it is also expected that the portfolio would remain relatively more insulated to day to day redemption pressures. The fund will close subscription; once it has collected a predetermined “manageable” corpus (approximate amount); which will be decided by the fund manager of the scheme depending on the available investment opportunities in the stock market / if the fund manager is of the opinion that investment opportunities have diminished. Thus the fund manager will endeavour to ensure that there are sufficient assets available to meet the long-term objectives of the fund.,54760,16.2343,Anoop Bhaskar; Sumit Agarwal; Viraj Kulkarni,IDFC Multi Cap Dividend Payout Direct Plan,10.6527,-7.2794,2.6939,2.3057,4.58,INF194K01W70,0.87,1095,118423
IDD204P-DR,Open Ended,Equity,Equity,AS N WHEN,10000,Y,The Scheme shall seek to generate long-term capital growth from an actively managed portfolio of predominantly equity and equity related instruments. The Scheme portfolio would acquire; inter alia; small and medium size businesses with good long term potential; which are available at cheap valuations. Such securities would be identified through disciplined fundamental research keeping in view medium to longterm trends in the business environment. The Scheme shall endeavor to accumulate long-term investor wealth by opening subscriptions to units during periods when stocks are available at reasonable valuations. By doing so; the Fund managers would endeavor to prevent shortterm money from flowing into the fund which can prove detrimental to the interests of long-term investors. As the scheme would be sold to investors with a long-term investment horizon; it is also expected that the portfolio would remain relatively more insulated to day to day redemption pressures. The fund will close subscription; once it has collected a predetermined “manageable” corpus (approximate amount); which will be decided by the fund manager of the scheme depending on the available investment opportunities in the stock market / if the fund manager is of the opinion that investment opportunities have diminished. Thus the fund manager will endeavour to ensure that there are sufficient assets available to meet the long-term objectives of the fund.,54760,16.2343,Anoop Bhaskar; Sumit Agarwal; Viraj Kulkarni,IDFC Multi Cap Dividend Reinvest Direct Plan,10.6527,-7.2794,2.6939,2.3057,9.63,INF194K01W70,0.87,1095,118423
IC8726-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND SEMI-ANNUALLY,5000,Y,To generate income through investments in a range of debt and money market instruments while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,134700,1.85111,Manish Banthia,ICICI Prudential Short Term Half Yearly Dividend Reinvest Direct Plan,8.2973,7.0872,6.9041,7.9364,9.26,INF109KA1X28,1.18,1095,131478
IC8727-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND SEMI-ANNUALLY,5000,Y,To generate income through investments in a range of debt and money market instruments while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,34370,6.36326,Manish Banthia,ICICI Prudential Bond Half Yearly Dividend Payout Direct Plan,6.4203,7.9477,6.1832,6.4588,4.05,INF109KA1X69,1.18,1095,131480
IC8727-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND SEMI-ANNUALLY,5000,Y,To generate income through investments in a range of debt and money market instruments while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,34370,6.36326,Manish Banthia,ICICI Prudential Bond Half Yearly Dividend Reinvest Direct Plan,6.4203,7.9477,6.1832,6.4588,6.4,INF109KA1X69,0.29,1095,131480
IC8718-DR,Open Ended,Hybrid,Equity,DIVIDEND SEMI-ANNUALLY,5000,Y,Objective is to generate long-term capital appreciation and current income by creating a portfolio invested in equity-equity related securities as well as fixed income and money market securities.,206110,11.9025,Sankaran Naren; Manish Banthia; Atul Patel,ICICI Prudential Equity & Debt Half Yearly Dividend Reinvest Direct Plan,6.9581,-12.6626,1.6302,5.0515,7.27,INF109KA1Y01,0.29,1095,131453
IC9209-GR,Open Ended,Others,Equity,GROWTH,5000,Y,to invest in companies whose securities are included in S&P BSE Sensex Index and subject to tracking errors; to endeavor to achieve the returns of the above index as closely as possible. This would be done by investing in all the stocks comprising the S&P BSE Sensex Index in approximately the same weightage that they represent in S&P BSE Sensex Index. The Scheme will not seek to outperform the S&P BSE Sensex Index or to underperform it. The objective is that the performance of the NAV of the Scheme should closely track the performance of the S&P BSE Sensex Index over the same period.,590,15.8866,Kayzad Eghlim,ICICI Prudential Sensex Index Growth Direct Plan,1.099,-11.8638,0,0,4.27,INF109KB10X0,0.11,1095,141841
IC9210-DR,Open Ended,Others,Equity,AS N WHEN,5000,Y,to invest in companies whose securities are included in S&P BSE Sensex Index and subject to tracking errors; to endeavor to achieve the returns of the above index as closely as possible. This would be done by investing in all the stocks comprising the S&P BSE Sensex Index in approximately the same weightage that they represent in S&P BSE Sensex Index. The Scheme will not seek to outperform the S&P BSE Sensex Index or to underperform it. The objective is that the performance of the NAV of the Scheme should closely track the performance of the S&P BSE Sensex Index over the same period.,590,15.8869,Kayzad Eghlim,ICICI Prudential Sensex Index Dividend Reinvest Direct Plan,1.099,-11.8638,0,0,6.34,INF109KB12X6,0.11,1095,141842
IC9210-DP,Open Ended,Others,Equity,AS N WHEN,5000,Y,to invest in companies whose securities are included in S&P BSE Sensex Index and subject to tracking errors; to endeavor to achieve the returns of the above index as closely as possible. This would be done by investing in all the stocks comprising the S&P BSE Sensex Index in approximately the same weightage that they represent in S&P BSE Sensex Index. The Scheme will not seek to outperform the S&P BSE Sensex Index or to underperform it. The objective is that the performance of the NAV of the Scheme should closely track the performance of the S&P BSE Sensex Index over the same period.,590,15.8869,Kayzad Eghlim,ICICI Prudential Sensex Index Dividend Payout Direct Plan,1.099,-11.8638,0,0,4.35,INF109KB12X6,0.11,1095,141842
IC8847-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND ANNUAL,100,Y,To generate income through investing predominantly in AA and below rated corporate bonds while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,128720,1.04309,Manish Banthia; Akhil Kakkar,ICICI Prudential Credit Risk Annual Dividend Payout Direct Plan,6.9835,7.849,5.9651,0,9.83,INF109KB1AE3,0.11,1095,134341
IC8847-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND ANNUAL,100,Y,To generate income through investing predominantly in AA and below rated corporate bonds while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,128720,1.04309,Manish Banthia; Akhil Kakkar,ICICI Prudential Credit Risk Annual Dividend Reinvest Direct Plan,6.9835,7.849,5.9651,0,10.1,INF109KB1AE3,0.11,1095,134341
IC8920-DP,Open Ended,Others,Equity,AS N WHEN,5000,Y,Objective is track the returns of S & P Nifty index through investment in stocks drawn from constituents of Nifty,5650,13.8036,Kayzad Eghlim,ICICI Prudential Nifty Index Dividend Payout Direct Plan,5.7864,-14.0401,3.2174,0,5.59,INF109KB1NM9,0.22,1095,135391
BS296DZ-DP,Open Ended,Equity,Equity,DIVIDEND ANNUAL,1000,Y,To generate consistent long-term capital appreciation by investing predominantly in equity and equity related securities by following value investing strategy.,36530,18.55,Milind Bafna,Aditya Birla Sun Life Pure Value Dividend Payout Direct Plan,10.904,-28.5567,-8.0423,-0.0431,9.39,INF209K01WP9,0.2,1095,119658
BS296DZ-DR,Open Ended,Equity,Equity,DIVIDEND ANNUAL,1000,Y,To generate consistent long-term capital appreciation by investing predominantly in equity and equity related securities by following value investing strategy.,36530,18.55,Milind Bafna,Aditya Birla Sun Life Pure Value Dividend Reinvest Direct Plan,10.904,-28.5567,-8.0423,-0.0431,5.57,INF209K01WP9,0.2,1095,119658
BS296GZ-GR,Open Ended,Equity,Equity,GROWTH,1000,Y,To generate consistent long-term capital appreciation by investing predominantly in equity and equity related securities by following value investing strategy.,36530,17.7554,Milind Bafna,Aditya Birla Sun Life Pure Value Growth Direct Plan,11.0764,-28.5586,-7.9554,0.0146,1.64,INF209K01WQ7,0.16,1095,119659
BS301GZ-GR,Open Ended,Debt,Debt - Bonds,GROWTH,1000,Y,The objective of the scheme is to generate consistent income through superior yields on its investments at relatively moderate levels of risk through diversified research based investment approach.,12550,4.34129,Pranay Sinha,Aditya Birla Sun Life Income Growth Direct Plan,8.6081,11.8809,8.4438,8.083,5.3,INF209K01WY1,0.17,1095,119657
BS301QZ-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,1000,N,The objective of the scheme is to generate consistent income through superior yields on its investments at relatively moderate levels of risk through diversified research based investment approach.,12550,5.7655,Pranay Sinha,Aditya Birla Sun Life Income Quarterly Dividend Reinvest Direct Plan,6.6655,9.8495,6.3071,5.7645,7.15,INF209K01WZ8,0.17,1095,119655
BS303GZ-GR,Open Ended,Debt,Debt - Bonds,GROWTH,1000,Y,The investment objective of the Scheme is to generate regular income and capital appreciation by predominantly investing in a portfolio of debt securities with medium term maturity.,44520,2.08156,Maneesh Dangi; Sunaina da Cunha,Aditya Birla Sun Life Medium Term Growth Direct Plan,7.7597,-2.1618,3.6136,6.0578,3.11,INF209K01XA9,0.17,1095,119539
BS313GZ-GR,Open Ended,Hybrid,Debt - Bonds,DIVIDEND MONTHLY,500,Y,To generate regular income so as to make monthly payments or distribution to Unitholders; with the secondary objective being growth of capital.,28460,5.03029,Satyabrata Mohanty; Vineet Maloo; Pranay Sinha,Aditya Birla Sun Life Regular Saving Growth Direct Plan,12.7578,3.1798,10.7309,14.4604,1.46,INF209K01XH4,0.17,1095,120705
BS313PZ-GR,Open Ended,Hybrid,Debt - Bonds,DIVIDEND MONTHLY,500,Y,To generate regular income so as to make monthly payments or distribution to Unitholders; with the secondary objective being growth of capital.,28460,5.03029,Satyabrata Mohanty; Vineet Maloo; Pranay Sinha,Aditya Birla Sun Life Regular Saving Monthly Payment Growth Direct Plan,12.7578,3.1798,10.7309,14.4604,1.68,INF209K01XJ0,0.17,1095,120705
BS85NGZ-GR,Open Ended,Debt,Debt - Bonds,GROWTH,1000,Y,To generate reasonable returns by primarily investing in debt and money market securities that are issued by Banks; Public Sector Undertakings (PSUs) and Public Financial Institutions (PFIs) in India.,100560,1.57246,Maneesh Dangi; Kaustubh Gupta,Aditya Birla Sun Life Banking & PSU Debt Growth Direct Plan,9.5534,10.4722,8.496,8.8238,7.86,INF209K01YN0,0.17,1095,119550
BS85NMZ-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,1000,Y,To generate reasonable returns by primarily investing in debt and money market securities that are issued by Banks; Public Sector Undertakings (PSUs) and Public Financial Institutions (PFIs) in India.,100560,4.16943,Maneesh Dangi; Kaustubh Gupta,Aditya Birla Sun Life Banking & PSU Debt Quarterly Dividend Payout Direct Plan,7.2937,8.4215,6.3091,6.4575,2.2,INF209K01YO8,0.17,1095,119553
BS916DZ-DP,Open Ended,Others,Equity,AS N WHEN,1000,Y,To provide returns that tracks returns provided by Birla Sun Life Gold ETF.,880,21.6153,Lovelish Solanki,Aditya Birla Sun Life Gold Dividend Payout Direct Plan,3.6349,32.7975,11.1143,9.3179,4.17,INF209K01YT7,0.17,1095,120545
BS916GZ-GR,Open Ended,Others,Equity,GROWTH,1000,Y,To provide returns that tracks returns provided by Birla Sun Life Gold ETF.,880,21.6146,Lovelish Solanki,Aditya Birla Sun Life Gold Growth Direct Plan,3.6334,32.7636,11.0991,9.3033,0.53,INF209K01YU5,0.17,1095,120546
BS92Z-GR,Open Ended,Equity,Equity,GROWTH,100,Y,The objective of the scheme is long term growth of capital; through a portfolio with a target allocation of 100% equity by aiming at being as diversified across various industries and/ or sectors as its chosen benchmark index; Nifty 50. The secondary objective is income generation and distribution of dividend.,193130,14.2755,Mahesh Patil,Aditya Birla Sun Life Frontline Equity Growth Direct Plan,9.9659,-14.4559,1.1268,3.0925,1.16,INF209K01YY7,0.1,1095,119528
BSADZ-DR,Open Ended,Hybrid,Equity,AS N WHEN,100,N,The objective of the scheme is to generate long term growth of capital and current income; through a portfolio investing in equity; debt and money market securities. The secondary objective is income generation and distribution of dividend.,89440,11.5791,Mahesh Patil; Pranay Sinha; Dhaval Shah,Aditya Birla Sun Life Equity Hybrid 95 Dividend Reinvest Direct Plan,9.1834,-16.6109,-1.0599,2.5246,7.72,INF209K01ZB2,0.1,1095,120518
BSAGZ-GR,Open Ended,Hybrid,Equity,GROWTH,100,Y,The objective of the scheme is to generate long term growth of capital and current income; through a portfolio investing in equity; debt and money market securities. The secondary objective is income generation and distribution of dividend.,89440,10.921,Mahesh Patil; Pranay Sinha; Dhaval Shah,Aditya Birla Sun Life Equity Hybrid 95 Growth Direct Plan,9.8369,-13.4728,0.3712,3.4163,7.63,INF209K01ZC0,0.1,1095,120517
UNPFRD-DR,Open Ended,Hybrid,Equity,AS N WHEN,5000,N,To achieve long-term capital  To achieve long term capital appreciation and generate income through an equity portfolio by using long equities; equity derivatives and arbitrage opportunities available,4550,6.6793,Parijat Agarwal; Vinay Paharia; Hardick Bora,Union Balanced Advantage Dividend Reinvest Direct Plan,0.8132,-3.2233,0,0,10.14,INF582M01DF6,0.1,1095,142037
UNPFPD-DP,Open Ended,Hybrid,Equity,AS N WHEN,5000,N,To achieve long-term capital  To achieve long term capital appreciation and generate income through an equity portfolio by using long equities; equity derivatives and arbitrage opportunities available,4550,6.6793,Parijat Agarwal; Vinay Paharia; Hardick Bora,Union Balanced Advantage Dividend Payout Direct Plan,0.8132,-3.2233,0,0,4.42,INF582M01DG4,0.1,1095,142037
